鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
信義區,房地(土地+建物),臺北市信義區忠孝東路五段743巷1弄1~30號,24.25,住,,,1060422,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0611125,69.27,4,2,2,有,無,15750000,227371,,0.0,0,,RPXNMLSJOHMFFDA88CA
信義區,房地(土地+建物),臺北市信義區莊敬路289巷6弄1~30號,28.0,住,,,1060425,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750701,106.51,5,2,2,有,無,18500000,173693,,0.0,0,,RPUOMLSJOHMFFDA68CA
信義區,房地(土地+建物),臺北市信義區基隆路一段147巷5弄1~30號,33.75,住,,,1060516,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640513,101.14,0,0,0,無,無,52000000,514139,,0.0,0,,RPRPMLQJOHMFFDA28CA
信義區,房地(土地+建物),臺北市信義區吳興街211~240號,27.82,商,,,1060413,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810505,171.78,4,2,2,有,有,34000000,197928,,0.0,0,,RPXPMLTJOHMFFDA56CA
信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷76弄1~30號,25.01,住,,,1040428,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050301,133.57,3,2,1,有,無,21300000,191509,升降平面,34.88,2400000,,RPSNMLQKOHMFFDA28CA
信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷76弄1~30號,19.91,住,,,1000925,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050301,111.05000000000001,2,1,1,有,無,18000000,199554,坡道平面,34.88,2800000,,RPUNMLQKOHMFFDA48CA
信義區,房地(土地+建物)+車位,臺北市信義區信義路五段8巷1~30號,7.33,其他,,,1060414,土地1建物1車位1,九層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0871019,96.26,1,0,1,有,有,17410000,180864,升降平面,0.0,2000000,含增建或未登記建物。,RPWNMLQKOHMFFDA68CA
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段61~90號,58.17,其他,,,1060324,土地2建物1車位3,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1030917,766.46,0,0,0,無,有,282070000,426532,坡道平面,130.46,10800000,,RPQNMLMKOHMFFDA67CA
士林區,房地(土地+建物),臺北市士林區重慶北路四段49巷15弄1~30號,8.65,住,,,1060501,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,20.95,4,2,2,有,無,1420000,67780,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLPLNHMFFEA48CA
士林區,房地(土地+建物),臺北市士林區明溪街1~30號,94.75,住,,,1060401,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650103,103.75,4,2,1,有,無,11750000,113253,,0.0,0,,RPQOMLPLNHMFFEA18CA
士林區,土地,溪洲段三小段691~720地號,30.6,住,,,1060501,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,42484,,0.0,0,,RPRNMLQLNHMFFEA28CA
北投區,房地(土地+建物)+車位,臺北市北投區北投路二段31~60號,31.51,住,,,1060501,土地3建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021106,248.72,3,2,2,有,有,36580000,147073,坡道平面,48.71,0,,RPSNMLQLNHMFFEA38CA
士林區,房地(土地+建物),臺北市士林區前街91~120號,38.25,住,,,1060401,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631109,95.06,3,2,1,有,無,14000000,147275,,0.0,0,含增建或未登記建物。,RPXOMLPLNHMFFEA88CA
士林區,房地(土地+建物)+車位,臺北市士林區環河北路三段91~120號,15.56,住,,,1060401,土地2建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930518,141.97,3,2,2,有,有,16500000,116222,坡道平面,28.49,0,含增建或未登記建物。,RPPNMLQLNHMFFEA08CA
士林區,房地(土地+建物)+車位,臺北市士林區文林路481~510號,22.11,商,,,1060401,土地1建物1車位2,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020227,159.91,3,2,2,有,有,46880000,293147,塔式車位,2.46,0,,RPWNMLTKOHMFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區行義路96巷1~30號,98.14,住,,,1060401,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020318,257.74,0,0,0,無,有,50700000,226667,坡道平面,43.77,2200000,,RPTOMLKLOHMFFEA08CA
